,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
0,2022-10-09,19:30,Super League,Matchweek 1,Sun,Away,D,3.0,3.0,Hyderabad FC,50.0,2127.0,Mourtada Fall,4-3-3,Tejas Nagvenkar,Match Report,,15,5,,0,0,2022,Mumbai City
1,2022-10-15,19:30,Super League,Matchweek 2,Sat,Home,W,2.0,0.0,Odisha,49.0,4128.0,Rahul Bheke,4-3-3,Pranjal Banerjee,Match Report,,7,3,,0,0,2022,Mumbai City
2,2022-10-22,17:30,Super League,Matchweek 3,Sat,Home,D,1.0,1.0,Jamshedpur,71.0,3733.0,Rahul Bheke,4-3-3,R. Venkatesh,Match Report,,14,5,,0,0,2022,Mumbai City
3,2022-10-28,19:30,Super League,Matchweek 4,Fri,Away,W,2.0,0.0,Kerala Blasters,47.0,33121.0,Rahul Bheke,4-2-3-1,Aditya Purkayastha,Match Report,,16,4,,0,0,2022,Mumbai City
4,2022-11-06,19:30,Super League,Matchweek 5,Sun,Home,D,2.0,2.0,Mohun Bagan,56.0,5869.0,Rahul Bheke,4-3-3,Rowan Arumughan,Match Report,,21,7,,0,0,2022,Mumbai City
5,2022-11-12,19:30,Super League,Matchweek 6,Sat,Away,W,6.0,2.0,Chennaiyin,62.0,7789.0,Rahul Bheke,4-3-3,Ashwin Mohanlal,Match Report,,18,11,,1,1,2022,Mumbai City
6,2022-11-17,19:30,Super League,Matchweek 7,Thu,Home,W,4.0,0.0,Bengaluru,50.0,6118.0,Rahul Bheke,4-3-3,C. R. Srikrishna,Match Report,,12,5,,0,0,2022,Mumbai City
7,2022-11-25,19:30,Super League,Matchweek 8,Fri,Away,W,3.0,1.0,NorthEast Utd,66.0,851.0,Rahul Bheke,4-3-3,S. Senthil Nathan,Match Report,,22,13,,1,1,2022,Mumbai City
8,2022-12-01,19:30,Super League,Matchweek 9,Thu,Home,W,4.0,1.0,Goa,55.0,5529.0,Rahul Bheke,4-3-3,Pratik Mondal,Match Report,,13,8,,0,0,2022,Mumbai City
9,2022-12-16,19:30,Super League,Matchweek 11,Fri,Away,W,3.0,0.0,East Bengal,69.0,8079.0,Mourtada Fall,4-3-3,Tejas Nagvenkar,Match Report,,19,9,,0,1,2022,Mumbai City
10,2022-12-24,17:30,Super League,Matchweek 12,Sat,Home,W,2.0,1.0,Chennaiyin,56.0,3892.0,Mourtada Fall,4-3-3,Pranjal Banerjee,Match Report,,18,8,,0,0,2022,Mumbai City
11,2023-01-02,19:30,Super League,Matchweek 13,Mon,Away,W,4.0,2.0,Odisha,59.0,4417.0,Rahul Bheke,4-2-3-1,Rowan Arumughan,Match Report,,16,9,,0,0,2022,Mumbai City
12,2023-01-08,19:30,Super League,Matchweek 14,Sun,Home,W,4.0,0.0,Kerala Blasters,60.0,6407.0,Rahul Bheke,4-2-3-1,C. R. Srikrishna,Match Report,,9,6,,0,0,2022,Mumbai City
13,2023-01-14,19:30,Super League,Matchweek 15,Sat,Away,W,1.0,0.0,Mohun Bagan,43.0,,Rahul Bheke,4-2-3-1,Tejas Nagvenkar,Match Report,,13,9,,0,0,2022,Mumbai City
14,2023-01-19,19:30,Super League,Matchweek 16,Thu,Home,W,4.0,0.0,NorthEast Utd,74.0,3187.0,Mourtada Fall,4-3-3,Ashwin Mohanlal,Match Report,,21,11,,0,1,2022,Mumbai City
15,2023-01-27,19:30,Super League,Matchweek 17,Fri,Away,W,2.0,1.0,Jamshedpur,64.0,,Mourtada Fall,4-3-3,S. Senthil Nathan,Match Report,,14,4,,0,0,2022,Mumbai City
16,2023-02-04,17:30,Super League,Matchweek 18,Sat,Home,D,1.0,1.0,Hyderabad FC,60.0,5588.0,Mourtada Fall,4-3-3,Harish Kundu,Match Report,,14,4,,1,1,2022,Mumbai City
17,2023-02-11,17:30,Super League,Matchweek 20,Sat,Away,W,5.0,3.0,Goa,45.0,,Ahmed Jahouh,4-3-3,Pranjal Banerjee,Match Report,,15,8,,1,1,2022,Mumbai City
18,2023-02-15,19:30,Super League,Matchweek 20,Wed,Away,L,1.0,2.0,Bengaluru,61.0,5901.0,Mourtada Fall,4-3-3,Rowan Arumughan,Match Report,,12,6,,0,0,2022,Mumbai City
0,2022-10-09,19:30,Super League,Matchweek 1,Sun,Home,D,3.0,3.0,Mumbai City,50.0,2127.0,João Victor,4-2-3-1,Tejas Nagvenkar,Match Report,,13,7,,1,1,2022,Hyderabad FC
1,2022-10-13,19:30,Super League,Matchweek 2,Thu,Away,W,3.0,0.0,NorthEast Utd,55.0,8627.0,João Victor,4-2-3-1,Pratik Mondal,Match Report,,20,10,,0,1,2022,Hyderabad FC
2,2022-10-22,19:30,Super League,Matchweek 3,Sat,Home,W,1.0,0.0,Bengaluru,57.0,10543.0,João Victor,4-2-3-1,Umesh Bora,Match Report,,19,4,,0,0,2022,Hyderabad FC
3,2022-10-29,17:30,Super League,Matchweek 4,Sat,Home,W,1.0,0.0,Goa,39.0,9638.0,João Victor,4-2-3-1,Crystal John,Match Report,,13,2,,0,0,2022,Hyderabad FC
4,2022-11-05,17:30,Super League,Matchweek 5,Sat,Home,W,1.0,0.0,Odisha,51.0,10126.0,João Victor,4-2-3-1,R. Venkatesh,Match Report,,6,2,,0,0,2022,Hyderabad FC
5,2022-11-09,19:30,Super League,Matchweek 6,Wed,Away,W,1.0,0.0,Jamshedpur,66.0,20189.0,João Victor,4-2-3-1,Pratik Mondal,Match Report,,12,2,,0,0,2022,Hyderabad FC
6,2022-11-19,19:30,Super League,Matchweek 7,Sat,Home,L,0.0,1.0,Kerala Blasters,68.0,11834.0,João Victor,4-2-3-1,Pranjal Banerjee,Match Report,,16,1,,0,0,2022,Hyderabad FC
7,2022-11-26,19:30,Super League,Matchweek 8,Sat,Away,L,0.0,1.0,Mohun Bagan,59.0,26493.0,João Victor,4-2-3-1,Harish Kundu,Match Report,,12,1,,0,0,2022,Hyderabad FC
8,2022-12-03,17:30,Super League,Matchweek 9,Sat,Away,W,3.0,1.0,Chennaiyin,57.0,8207.0,João Victor,4-2-3-1,Rahul Kumar Gupta,Match Report,,17,7,,0,0,2022,Hyderabad FC
9,2022-12-09,19:30,Super League,Matchweek 10,Fri,Home,W,2.0,0.0,East Bengal,50.0,5196.0,João Victor,4-2-3-1,S. Senthil Nathan,Match Report,,10,5,,0,0,2022,Hyderabad FC
10,2022-12-23,19:30,Super League,Matchweek 12,Fri,Away,W,3.0,0.0,Bengaluru,33.0,8117.0,Bartholomew Ogbeche,4-2-3-1,Priyobarta Singh,Match Report,,9,5,,0,0,2022,Hyderabad FC
